Customer Name,Order Priority,Product Category,Product Sub-Category,Region,Ship Mode,COGS
Muhammed MacIntyre,Low,Office Supplies,Storage & Organization,Central,Regular Air,35
Ruben Dartt,Not Specified,Office Supplies,"Scissors, Rulers and Trimmers",West,Regular Air,2.56
Liz Pelletier,High,Furniture,Office Furnishings,West,Regular Air,5.81
Liz Pelletier,High,Furniture,Tables,West,Delivery Truck,89.3
Liz Pelletier,High,Technology,Telephones and Communication,West,Regular Air,5.03
Liz Pelletier,High,Technology,Computer Peripherals,South,Regular Air,8.99
Julie Creighton,Not Specified,Office Supplies,Pens & Art Supplies,Central,Regular Air,2.25
Julie Creighton,Not Specified,Technology,Telephones and Communication,Central,Regular Air,8.99
Sample Company A,Critical,Technology,Telephones and Communication,West,Regular Air,4.2
Tamara Dahlen,Critical,Technology,Computer Peripherals,Central,Regular Air,1.99
Arthur Gainer,Low,Office Supplies,Pens & Art Supplies,West,Regular Air,0.7
Jonathan Doherty,Not Specified,Furniture,Office Furnishings,South,Regular Air,3.92
Jonathan Doherty,Not Specified,Office Supplies,Pens & Art Supplies,South,Express Air,0.7
Helen Wasserman,Low,Office Supplies,Rubber Bands,East,Regular Air,2.58
Helen Wasserman,Low,Technology,Telephones and Communication,East,Regular Air,5.99
Keith Dawkins,High,Technology,Telephones and Communication,South,Regular Air,8.99
Craig Yedwab,Medium,Office Supplies,Labels,West,Regular Air,0.5
Pauline Chand,Low,Office Supplies,Paper,Central,Regular Air,8.19
Roy Collins,High,Technology,Office Machines,South,Express Air,13.99
Roy Collins,High,Office Supplies,Paper,South,Regular Air,9.03
Roy Collins,High,Office Supplies,Storage & Organization,South,Regular Air,9.45
Emily Phan,Medium,Technology,Telephones and Communication,East,Regular Air,5.03
Emily Phan,Medium,Furniture,Bookcases,East,Delivery Truck,54.74
Michael Dominguez,Not Specified,Office Supplies,Storage & Organization,Central,Regular Air,35
Anne Pryor,Not Specified,Technology,Computer Peripherals,East,Regular Air,4.62
Valerie Takahito,High,Technology,Telephones and Communication,South,Express Air,8.99
Justin Hirsh,Critical,Office Supplies,Storage & Organization,East,Regular Air,6.27
Maria Zettner,Medium,Furniture,Office Furnishings,West,Regular Air,7.98
Maria Zettner,Medium,Office Supplies,"Scissors, Rulers and Trimmers",West,Regular Air,1.92
Brad Thomas,Medium,Office Supplies,Pens & Art Supplies,West,Regular Air,13.89
Penelope Sewall,High,Office Supplies,"Scissors, Rulers and Trimmers",South,Regular Air,3.14
Bart Folk,Not Specified,Furniture,Office Furnishings,West,Regular Air,5.21
Bart Folk,Not Specified,Office Supplies,Paper,West,Regular Air,5.15
Bart Folk,Not Specified,Office Supplies,Storage & Organization,West,Regular Air,10.68
Karen Ferguson,Critical,Office Supplies,Pens & Art Supplies,East,Regular Air,0.7
Karen Ferguson,Critical,Office Supplies,Pens & Art Supplies,East,Regular Air,4.1
Matt Abelman,Critical,Furniture,Office Furnishings,Central,Regular Air,4.98
Peter Fuller,Critical,Office Supplies,Binders and Binder Accessories,South,Regular Air,12.98
Erin Creighton,Critical,Office Supplies,Pens & Art Supplies,Central,Regular Air,8.99
Erin Creighton,Critical,Technology,Telephones and Communication,Central,Regular Air,8.08
Sean Braxton,High,Office Supplies,Appliances,South,Regular Air,19.99
Liz Willingham,Critical,Office Supplies,Paper,East,Regular Air,8.74
Liz Willingham,Critical,Office Supplies,Storage & Organization,East,Delivery Truck,53.03
Liz Willingham,Critical,Office Supplies,Binders and Binder Accessories,East,Regular Air,5.27
Sonia Sunley,Medium,Technology,Telephones and Communication,Central,Regular Air,4.2
Paul Lucas,High,Office Supplies,Binders and Binder Accessories,West,Regular Air,7.78
Dorris Love,Not Specified,Office Supplies,Paper,East,Regular Air,5.83
Valerie Takahito,High,Office Supplies,Envelopes,South,Regular Air,1.39
Barry French,High,Office Supplies,Appliances,Central,Delivery Truck,68.02
Barry French,High,Office Supplies,Binders and Binder Accessories,Central,Regular Air,2.99
Sanjit Chand,Medium,Office Supplies,Storage & Organization,Central,Regular Air,19.99
Giulietta Weimer,Critical,Technology,Telephones and Communication,Central,Regular Air,8.08
Giulietta Weimer,Critical,Office Supplies,Paper,Central,Regular Air,10.05
Dario Medina,Critical,Office Supplies,Envelopes,West,Regular Air,1.39
Dario Medina,Critical,Office Supplies,Paper,West,Regular Air,11.54
Frank Gastineau,Critical,Technology,Telephones and Communication,South,Regular Air,13.99
Craig Yedwab,Low,Technology,Telephones and Communication,East,Regular Air,4.23
Michelle Tran,High,Office Supplies,Binders and Binder Accessories,East,Regular Air,4.92
Michelle Tran,High,Office Supplies,Rubber Bands,East,Regular Air,3.37
Dean Percer,Low,Office Supplies,Pens & Art Supplies,West,Regular Air,1
Henry MacAllister,Low,Technology,Telephones and Communication,Central,Regular Air,0.99
Ricardo Block,High,Furniture,Bookcases,West,Delivery Truck,54.11
Ricardo Block,High,Technology,Computer Peripherals,West,Regular Air,1.99
Cari Sayre,Medium,Furniture,Tables,West,Delivery Truck,51.94
Sonia Cooley,Low,Furniture,Tables,West,Delivery Truck,80.2
Tracy Poddar,High,Office Supplies,Labels,East,Regular Air,0.5
Tracy Poddar,High,Office Supplies,Pens & Art Supplies,East,Regular Air,0.7
Jennifer Halladay,Not Specified,Office Supplies,Appliances,Central,Regular Air,6.96
Stuart Calhoun,Low,Technology,Telephones and Communication,East,Express Air,7.69
Robert Barroso,Medium,Technology,Office Machines,West,Delivery Truck,28.14
Robert Barroso,Medium,Office Supplies,Storage & Organization,West,Regular Air,19.99
Tony Sayre,Not Specified,Office Supplies,Paper,West,Regular Air,4.86
Tony Sayre,Not Specified,Office Supplies,Paper,West,Regular Air,5.37
Brad Thomas,Medium,Technology,Telephones and Communication,West,Regular Air,19.99
Candace McMahon,High,Furniture,Office Furnishings,Central,Regular Air,5.21
Matt Collins,Not Specified,Office Supplies,Pens & Art Supplies,Central,Express Air,8.99
Matt Collins,Not Specified,Office Supplies,Storage & Organization,Central,Regular Air,11.25
Darrin Martin,Low,Office Supplies,Rubber Bands,East,Regular Air,1.82
Art Foster,High,Technology,Telephones and Communication,West,Regular Air,5.26
Clay Rozendal,High,Technology,Telephones and Communication,Central,Regular Air,3.99
Valerie Dominguez,Critical,Office Supplies,Appliances,South,Regular Air,4.5
Sam Craven,Low,Furniture,Chairs & Chairmats,South,Regular Air,18.06
Sam Craven,Low,Office Supplies,Storage & Organization,South,Express Air,10.68
Arthur Prichep,High,Furniture,Chairs & Chairmats,East,Delivery Truck,60.2
Carlos Soltero,Not Specified,Office Supplies,Appliances,Central,Regular Air,5.94
Carlos Soltero,Not Specified,Furniture,Office Furnishings,Central,Regular Air,4.95
Sung Chung,Critical,Office Supplies,Labels,South,Regular Air,0.99
Sung Chung,Critical,Office Supplies,Paper,South,Regular Air,5.9
Sung Chung,Critical,Technology,Telephones and Communication,South,Regular Air,4.2
Ken Brennan,Critical,Office Supplies,Paper,East,Regular Air,7.44
Ken Brennan,Critical,Office Supplies,Paper,East,Regular Air,8.74
Ken Brennan,Critical,Office Supplies,Storage & Organization,East,Express Air,35
Joe Elijah,Critical,Office Supplies,Paper,South,Express Air,5.41
Arthur Prichep,Critical,Office Supplies,Storage & Organization,East,Regular Air,9.47
Sheri Gordon,Medium,Office Supplies,Paper,South,Regular Air,6.26
Sheri Gordon,Medium,Technology,Telephones and Communication,South,Regular Air,2.5
Carl Jackson,High,Office Supplies,Binders and Binder Accessories,Central,Regular Air,7.72
Carl Jackson,High,Office Supplies,Storage & Organization,Central,Regular Air,6.22
Dave Hallsten,High,Furniture,Office Furnishings,East,Regular Air,5
Dave Hallsten,High,Furniture,Tables,East,Delivery Truck,52.42
Tamara Chand,High,Furniture,Bookcases,Central,Delivery Truck,58.64
Tamara Chand,High,Office Supplies,Paper,Central,Regular Air,9.54
Monica Federle,High,Office Supplies,Storage & Organization,Central,Express Air,35
Bill Eplett,Critical,Furniture,Chairs & Chairmats,East,Delivery Truck,58.95
Harold Engle,High,Office Supplies,Binders and Binder Accessories,Central,Regular Air,4.98
Duane Huffman,High,Office Supplies,"Scissors, Rulers and Trimmers",Central,Regular Air,3.98
Dorothy Badders,Low,Office Supplies,Paper,Central,Regular Air,8.33
Sarah Jordon,Critical,Office Supplies,Pens & Art Supplies,Central,Regular Air,0.7
Susan MacKendrick,Low,Office Supplies,Binders and Binder Accessories,South,Regular Air,5.47
Susan MacKendrick,Low,Furniture,Office Furnishings,South,Regular Air,8.66
Susan MacKendrick,Low,Technology,Office Machines,South,Delivery Truck,17.85
Caroline Jumper,Not Specified,Office Supplies,Appliances,East,Regular Air,4.5
Caroline Jumper,Not Specified,Office Supplies,Paper,East,Regular Air,5.14
Thomas Boland,Medium,Office Supplies,Labels,Central,Regular Air,0.49
Roy French,Medium,Technology,Office Machines,Central,Delivery Truck,56.14
Darrin Van Huff,Critical,Office Supplies,Paper,South,Regular Air,4.72
Pamela Stobb,High,Office Supplies,Appliances,East,Regular Air,8.17
Pamela Stobb,High,Office Supplies,Envelopes,East,Regular Air,1.39
Helen Abelman,Medium,Technology,Telephones and Communication,Central,Regular Air,8.99
Sibella Parks,Critical,Office Supplies,Appliances,West,Regular Air,49
Peter McVee,Critical,Office Supplies,Rubber Bands,East,Regular Air,0.7
Peter McVee,Critical,Office Supplies,Pens & Art Supplies,East,Regular Air,1.2
Thais Sissman,Critical,Office Supplies,Pens & Art Supplies,South,Regular Air,3.5
Kean Nguyen,Critical,Office Supplies,Binders and Binder Accessories,East,Regular Air,5.63
Kean Nguyen,Critical,Technology,Office Machines,East,Regular Air,9.4
Toby Swindell,Not Specified,Furniture,Office Furnishings,South,Regular Air,5.71
Neola Schneider,Medium,Office Supplies,Paper,Central,Regular Air,6.18
